generation,best_fitness,mean_fitness,std_fitness
0,0.08960541197011668,0.07616651976816453,0.00659970794029772
1,0.0941328580942843,0.08271189984450383,0.005889529763834309
2,0.09495572339384092,0.08725316905921009,0.00482210611542368
3,0.09592290729237579,0.09150209486641314,0.0028104076743785886
4,0.09833656454306518,0.09390002950004533,0.0016929379689748628
5,0.09833656454306518,0.09538521653175792,0.0013575815303902285
6,0.09833656454306518,0.09695624131846334,0.0009284809789154517
7,0.09833656454306518,0.0977701040115727,0.0006661138278937525
8,0.0983584976887642,0.09820231201832653,0.0002815285320181774
9,0.0983584976887642,0.09832700252389635,7.332671070445744e-05
